year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
2020,2020,0.8186275471723614,2.692936413447758e-05,0.8186006178082269,0.8186544765364959,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2021,2021,0.739113471457688,nan,nan,nan,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2022,2022,0.7500871076567384,0.030353929835067163,0.7197331778216712,0.7804410374918055,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2023,2023,0.836861114854544,0.018655017917057724,0.8182060969374862,0.8555161327716017,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2024,2024,0.9656828878642164,0.05335458819556595,0.9123282996686505,1.0190374760597825,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
2025,2025,0.7808239970427957,0.02795287585351773,0.752871121189278,0.8087768728963134,Saturation state,Winter Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,1.0
1999,1999,0.806170846417591,nan,nan,nan,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2000,2000,0.761510247458631,nan,nan,nan,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2001,2001,nan,nan,nan,nan,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2002,2002,0.6885306688568674,0.040613900809746036,0.6479167680471214,0.7291445696666135,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2003,2003,0.858558054995515,nan,nan,nan,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2004,2004,0.710153864882808,nan,nan,nan,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2005,2005,0.721258201870911,nan,nan,nan,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2006,2006,0.7365676499086847,0.06733014911762022,0.6692375007910645,0.803897799026305,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2007,2007,0.6604245366376996,0.03653109745839487,0.6238934391793047,0.6969556340960945,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2008,2008,0.7036618559292017,0.046013059289304575,0.6576487966398972,0.7496749152185063,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2009,2009,0.7114711748020295,0.04165198592281685,0.6698191888792127,0.7531231607248463,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2010,2010,0.7733505540100116,0.031795200557987145,0.7415553534520245,0.8051457545679988,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2011,2011,0.7473451307231821,0.051304043759106445,0.6960410869640756,0.7986491744822886,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2012,2012,0.7762642798075802,0.055312450268570304,0.7209518295390098,0.8315767300761505,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
2013,2013,0.6893760033881733,0.03450115920408088,0.6548748441840924,0.7238771625922542,Saturation state,Spring Aragonite Saturation at 150 m: NH25 (44.65N -124.65W),44.651291689686815,-124.64981182041355,150.0,2.0
