year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1952,1952,2.2617333333333334,0.26037129044671736,2.001362042886616,2.522104623780051,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1953,1953,2.06955,0.17205000000000004,1.8975,2.2416,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1954,1954,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1955,1955,2.0118181818181817,0.0,2.0118181818181817,2.0118181818181817,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1956,1956,2.2554895104895105,0.15087412587412574,2.1046153846153848,2.4063636363636363,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1957,1957,2.0423999999999998,0.0,2.0423999999999998,2.0423999999999998,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1958,1958,2.876923076923077,0.0,2.876923076923077,2.876923076923077,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1959,1959,2.0822710622710625,0.28564441711697386,1.7966266451540887,2.3679154793880364,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1960,1960,2.1502222222222223,0.1857777777777777,1.9644444444444447,2.336,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1961,1961,2.0087499999999996,0.0,2.0087499999999996,2.0087499999999996,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1962,1962,1.8442857142857143,0.0,1.8442857142857143,1.8442857142857143,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1963,1963,2.0989999999999998,0.0,2.0989999999999998,2.0989999999999998,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1964,1964,2.3925,0.0,2.3925,2.3925,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1965,1965,1.448,0.0,1.448,1.448,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1966,1966,2.565,0.0,2.565,2.565,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1967,1967,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1968,1968,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1969,1969,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1970,1970,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1971,1971,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1972,1972,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1973,1973,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1974,1974,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1975,1975,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1976,1976,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1977,1977,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1978,1978,2.3974553571428574,0.4481696428571429,1.9492857142857145,2.845625,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1979,1979,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1980,1980,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1981,1981,2.1696,0.0,2.1696,2.1696,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1982,1982,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1983,1983,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1984,1984,2.724791666666667,0.31586899259995616,2.408922674066711,3.040660659266623,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1985,1985,2.82,0.0,2.82,2.82,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1986,1986,2.0885714285714285,0.0,2.0885714285714285,2.0885714285714285,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1987,1987,2.822,0.0,2.822,2.822,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1988,1988,2.48,0.0,2.48,2.48,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1989,1989,2.3233333333333333,0.0,2.3233333333333333,2.3233333333333333,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1990,1990,2.145,0.0,2.145,2.145,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1991,1991,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1992,1992,2.855,0.0,2.855,2.855,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1993,1993,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1994,1994,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1995,1995,2.27,0.0,2.27,2.27,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1996,1996,2.1750000000000003,0.0,2.1750000000000003,2.1750000000000003,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1997,1997,2.478181818181818,0.0,2.478181818181818,2.478181818181818,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1998,1998,2.2618181818181817,0.0,2.2618181818181817,2.2618181818181817,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
1999,1999,1.910909090909091,0.0,1.910909090909091,1.910909090909091,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2000,2000,2.4495,0.10749999999999993,2.342,2.557,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2001,2001,1.6875,0.0,1.6875,1.6875,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2002,2002,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2003,2003,1.7197727272727272,0.12522727272727263,1.5945454545454547,1.8449999999999998,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2004,2004,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2005,2005,1.8481818181818181,0.0,1.8481818181818181,1.8481818181818181,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2006,2006,1.49,0.0,1.49,1.49,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2007,2007,2.297,0.0,2.297,2.297,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2008,2008,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2009,2009,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2010,2010,2.0096,0.0,2.0096,2.0096,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2011,2011,1.4533333333333334,0.0,1.4533333333333334,1.4533333333333334,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2012,2012,nan,nan,nan,nan,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2013,2013,1.7011,0.0,1.7011,1.7011,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2014,2014,2.1029999999999998,0.0,2.1029999999999998,2.1029999999999998,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
2015,2015,2.0738,0.0,2.0738,2.0738,DO (ml/L),Spring Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.84099336134454,-117.5266957955182,150.0,2.0
